ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
65.170.163.201,,US,,,,false,0.93,2018-04-05T15:46:17Z,2015-01-05T23:17:00Z
103.243.97.5,n2pcontrols.co.nz.,NZ,Auckland,dnsmasq-2.48,,true,1.00,2018-04-05T15:46:18Z,2015-01-05T23:20:56Z
89.160.63.11,static-11-63-160-89.bredbandsson.se.,SE,Landskrona,,,false,1.00,2018-04-05T15:46:16Z,2015-01-05T23:21:52Z
212.2.198.38,ns1.virtuatic.com.,TR,,,,false,1.00,2018-04-05T15:46:17Z,2015-01-05T23:28:31Z
91.121.236.3,,FR,,,,false,1.00,2018-04-05T15:46:17Z,2015-01-05T23:28:47Z
118.163.143.80,118-163-143-80.HINET-IP.hinet.net.,TW,Taipei,Microsoft DNS 6.1.7601 (1DB15D39),,false,0.97,2018-04-05T15:46:20Z,2015-01-05T23:29:06Z
220.73.172.107,,KR,,,,false,0.97,2018-04-05T15:46:20Z,2015-01-05T23:29:29Z
109.160.96.209,,BG,,,,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:30:09Z
190.128.138.94,,PY,,,,false,0.93,2018-04-05T15:46:23Z,2015-01-05T23:31:17Z
131.210.1.26,cedar.ad.uwp.edu.,US,Kenosha,Microsoft DNS 6.1.7601 (1DB15D39),,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:34:46Z
195.22.25.132,hazel.atelierlogico.com.,PT,,9.8.4-rpz2+rl005.12-P1,,false,0.93,2018-04-05T15:46:18Z,2015-01-05T23:35:47Z
190.248.136.122,,CO,Medellín,,,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:39:08Z
212.224.106.20,mail.koop.us.,DE,,,,false,1.00,2018-04-05T15:46:17Z,2015-01-05T23:39:29Z
194.247.25.110,,RU,Salym,,,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:40:35Z
69.41.13.254,ns.shiawassee.net.,US,Owosso,,,false,1.00,2018-04-05T15:46:18Z,2015-01-05T23:42:52Z
